OBJECTID;Name;Exposition;Hangneig;Woelbung;TWIndex;LS-Faktor;Pfad_Fluss;Pfad_Dorf
148;B0149;299,4070129;14,35669994;-8,12376976;-13,9151001;4,429820061;8390,799805;178,6390076
149;B0150;336,1610107;10,79020023;-7,371630192;-13,37839985;4,665430069;8535,389648;42,89690018
150;B0151;356,9869995;13,02900028;-0,932000995;-16,57859993;2,574800014;8556,709961;103,8580017
151;B0152;115,0169983;3,839169979;6,340799809;-12,07279968;4,655580044;8867,389648;147,5709991
152;B0153;342,7189941;20,91259956;-5,604450226;-17,20660019;2,472749949;8583,519531;286,052002
153;B0154;70,01689911;5,421299934;-10,31569958;-1,360229969;9,284810066;8615,55957;330,5660095
154;B0155;97,125;3,740080118;-11,93490028;-6,789830208;2,948549986;8706,830078;197,0269928
155;B0156;352,5690002;5,371900082;-1,113620043;-1,970909953;8,929479599;8668,160156;239,0350037
156;B0157;178,9190063;12,12860012;8,452329636;-13,08230019;4,211400032;8837,700195;63,63550186
157;B0158;10,37580013;16,31069946;-17,26379967;-15,21520042;3,571089983;8776,700195;1081,079956
158;B0159;11,30990028;1,18422997;-45,30059814;-9,365369797;7,373760223;8816,929688;306,7049866
159;B0160;0;13,67129993;-6,335659981;-13,12170029;5,208169937;8773,950195;324,5780029
160;B0161;16,82139969;20,01329994;-6,319489956;-16,88170052;2,724489927;8668,240234;448,0409851
161;B0162;123,6900024;3,346179962;-12,83920002;-12,32359982;4,174139977;8980,969727;689,96698
162;B0163;56,7682991;15,70100021;6,14951992;-16,8560009;2,53689003;8828,830078;624,1710205
163;B0164;256,5350037;16,48740005;3,289979935;-17,01659966;2,490770102;8621,549805;148,5610046
164;B0165;42,95460129;9,125729561;-16,85589981;-15,34070015;2,884910107;9105,280273;1084,199951
165;B0166;150,9450073;11,78820038;-3,865969896;-13,55150032;4,643799782;8654,05957;1277,530029
166;B0167;19,7989006;12,15789986;-22,05220032;-14,60219955;3,57062006;8495,650391;950,9920044
167;B0168;132,6139984;7,841370106;1,000100017;-11,3494997;5,376719952;8338,919922;1303,150024
168;B0169;284,0360107;5,72713995;-25,44199944;8,682339668;0;9066,019531;951,0599976
169;B0170;34,5625;12,49110031;-12,90410042;-9,410860062;9,09842968;9103,339844;1049,569946
170;B0171;279,4620056;2,823519945;-0,302401006;-4,289979935;5,614009857;8692,19043;576,8850098
171;B0172;41,18590164;4,926169872;-4,672830105;-5,027239799;3,740390062;8586,580078;504,0840149
172;B0173;100,8860016;12,11600018;-0,100997001;-7,87612009;2,614929914;8714,030273;633,3560181
173;B0174;356,1860046;3,487620115;-11,85359955;-3,663350105;5,510240078;8449,530273;762,3439941
174;B0175;71,56500244;5,127999783;-0,875651002;-2,607310057;6,836619854;8417,599609;629,6599731
175;B0176;97,43139648;5,371900082;-4,352270126;-6,538000107;3,579319954;8358,650391;800,0150146
176;B0177;135;3,608649969;-20,35289955;-7,992139816;2,380769968;7865,540039;821,2059937
177;B0178;135;4,589069843;-23,08510017;-2,80437994;7,226290226;9149,959961;1411,219971
178;B0179;177,7089996;5,791840076;-4,758629799;-3,552680016;5,724229813;9911,549805;1404,170044
